model,train_mape,test_mape,test_mae,test_rmse,test_r2,cv_score
ols,18.192427883526165,23.017484440983164,116295.04525832758,254891.64722878963,0.5911365042978176,0.17060099982395877
ridge,18.221255815445893,22.973761508849975,115119.53682762291,249371.47325380673,0.6086542049963932,0.170391820294883
lasso,18.340825096492534,22.905088782323702,113474.88204095182,243215.0072825196,0.627738718829171,0.17090643718851364
elasticnet,18.426795886513617,22.848648980877392,111279.79336170669,237762.2661250591,0.6442433782832322,0.17135451489161474
huber,18.53943759479484,24.15475911357079,118857.8892741198,295372.9337561614,0.4509542643388311,0.16745298811948267
ridge_location_only,30.982984508527682,36.22700163705333,184409.8774681609,419650.51320847403,-0.10826252136397163,
ridge_size_only,30.143900685571108,30.791390275680858,158294.69894406167,270554.066539446,0.5393455599515694,
ridge_location_size,19.88849992870574,24.50755323435159,121431.86841513761,288407.1243830997,0.4765453063877888,
ridge_all_quality,19.47848050002287,24.239279162177972,118806.9380139996,273856.31844270387,0.528031884146201,
ridge_no_polynomial,18.224736451519433,22.979322583841622,115114.66696973325,249564.13511882414,0.6080492718387673,
xgboost,10.977580835271281,17.504852985387856,95900.24918578738,222557.78032550283,0.6882885954165343,0.1494144695770288
